UpdatedDate,BaseAmount
2019-08-23,180
2019-08-29,149
2019-08-30,64
2019-09-04,40
2019-09-16,542
2019-09-20,10
2019-09-23,21
2019-09-24,10
2019-09-25,21
2019-09-26,305028
2019-09-27,808
2019-10-02,111
2019-10-07,10
2019-11-05,80
2019-11-22,51
2019-11-23,25
2019-11-26,110
2019-11-27,107
2019-12-09,53
2019-12-10,298
2019-12-11,100
2019-12-18,20
2019-12-19,40
2020-01-03,60
2020-01-15,17
